dataset,version,doi,license,access_date,source_url,record_id,local_path,sha256,included,exclusion_reason
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,SC4001,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001EC-Hypnogram.edf,SC4001,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4001EC-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,SC4011,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011EH-Hypnogram.edf,SC4011,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4011EH-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,SC4021,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021EH-Hypnogram.edf,SC4021,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4021EH-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,SC4031,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031EC-Hypnogram.edf,SC4031,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4031EC-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,SC4041,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041EC-Hypnogram.edf,SC4041,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4041EC-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,SC4051,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4051E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4051EC-Hypnogram.edf,SC4051,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4051EC-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,SC4061,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4061E0-PSG.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4061EC-Hypnogram.edf,SC4061,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4061EC-Hypnogram.edf,,true,
Sleep-EDF Database Expanded,1.0.0,https://doi.org/10.13026/C2X676,Open Data Commons Attribution License v1.0,2026-06-22,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,SC4071,data/raw/sleep-edfx/1.0.0/sleep-cassette/SC4071E0-PSG.edf,,true,
