dataset,version,doi,license,access_date,source_url,record_id,local_path,sha256,included,exclusion_reason
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/ANNOTATORS,_metadata,data/raw/fantasia/1.0.0/ANNOTATORS,d72ae7f414b8aebcfd4f5c30ac1210b92b90584ed277d464ad6b311484f89502,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/RECORDS,_metadata,data/raw/fantasia/1.0.0/RECORDS,ce7bc34a64943347908cc7ef0f4ed6269fced3c1a671103e9920ce8614624a83,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/SHA256SUMS.txt,_metadata,data/raw/fantasia/1.0.0/SHA256SUMS.txt,2bb7ba43abd719ab0814061976b25117f878f2f19e0b56acf2faf6d04630165f,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o01.dat,f1o01,data/raw/fantasia/1.0.0/f1o01.dat,5758cb184d4f529383fdafd4dca68478d654e511f15621ff00d04a17c01f80aa,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o01.hea,f1o01,data/raw/fantasia/1.0.0/f1o01.hea,c0ad734a39b077e5fe5bb3a0f910aa5128f2655f57247219bf02b734a2f0c2ea,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o01.ecg,f1o01,data/raw/fantasia/1.0.0/f1o01.ecg,480a47fd00aba1cf11129e67160b2349afb63b573214a63b89641d14f7a3c808,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o02.dat,f1o02,data/raw/fantasia/1.0.0/f1o02.dat,efa7758913f81f67937ec67597f5585bbb880ded8b3aa7c70bf17f6b55749977,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o02.hea,f1o02,data/raw/fantasia/1.0.0/f1o02.hea,21a35af8d00649f01154ec125927fd7fe30c2dc75aafc2b208d8d4250598fea1,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o02.ecg,f1o02,data/raw/fantasia/1.0.0/f1o02.ecg,d4543bd89bddecd598392752fab879bad3a05aa2ffa34dd577aaf92c0ba6c6d2,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o03.dat,f1o03,data/raw/fantasia/1.0.0/f1o03.dat,c18179e33ea9358cca24d77e1ff74454e017f47c35680619c04bdbc484a5b3cd,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o03.hea,f1o03,data/raw/fantasia/1.0.0/f1o03.hea,5b4549166b34a66c6805d3e61ac4d18ccf5c016f2f5e96d3c5b675d4ac005191,true,
Fantasia Database,1.0.0,10.13026/C2RG61,Open Data Commons Attribution License v1.0,2026-06-21,https://physionet.org/files/fantasia/1.0.0/f1o03.ecg,f1o03,data/raw/fantasia/1.0.0/f1o03.ecg,b693719db14f3ddbcf3d7cd411d2e11fe551c5f7b6defee8234dda1579387591,true,
