record_id,channel_index,channel_name,unit,sampling_rate_hz,record_duration_hours,sampled_seconds,finite_fraction_pct,standard_deviation,is_respiration_channel,is_spo2_channel,has_dynamic_signal
slp01a,0,ECG,mV,250.0,2.0,60.0,100.0,0.13163224654527308,False,False,True
slp01a,1,BP,mmHg,250.0,2.0,60.0,100.0,18.644848748438154,False,False,True
slp01a,2,EEG (C4-A1),mV,250.0,2.0,60.0,100.0,0.040131027297200694,False,False,True
slp01a,3,Resp (sum),l,250.0,2.0,60.0,100.0,0.40629615102903877,True,False,True
slp02a,0,ECG,mV,250.0,3.0,60.0,100.0,0.15406377807019475,False,False,True
slp02a,1,BP,mmHg,250.0,3.0,60.0,100.0,18.983253141546726,False,False,True
slp02a,2,EEG (O2-A1),mV,250.0,3.0,60.0,100.0,0.011112758146213387,False,False,True
slp02a,3,Resp (nasal),l,250.0,3.0,60.0,100.0,0.29923536988475846,True,False,True
slp03,0,ECG,mV,250.0,6.0,60.0,100.0,0.24157129003334263,False,False,True
slp03,1,BP,mmHg,250.0,6.0,60.0,100.0,28.364010206222613,False,False,True
slp03,2,EEG (C3-O1),mV,250.0,6.0,60.0,100.0,0.013065884240632908,False,False,True
slp03,3,Resp (nasal),l,250.0,6.0,60.0,100.0,0.22259229203385011,True,False,True
slp59,0,ECG,mV,250.0,4.0,60.0,100.0,0.11227208617164523,False,False,True
slp59,1,BP,mmHg,250.0,4.0,60.0,100.0,18.9393212420484,False,False,True
slp59,2,EEG (C3-O1),mV,250.0,4.0,60.0,100.0,0.017951822693614516,False,False,True
slp59,3,Resp (nasal),l,250.0,4.0,60.0,100.0,0.0004696282121742641,True,False,True
slp59,4,Resp (abdominal),l,250.0,4.0,60.0,100.0,0.002337973912930119,True,False,True
slp59,5,SV,ml,250.0,4.0,60.0,100.0,17.570754558357788,False,False,True
slp59,6,SO2,%,250.0,4.0,60.0,100.0,0.030909384745730253,False,True,True
slp60,0,ECG,mV,250.0,5.916666666666667,60.0,100.0,0.16502840998519014,False,False,True
slp60,1,BP,mmHg,250.0,5.916666666666667,60.0,100.0,21.426058038941644,False,False,True
slp60,2,EEG (C3-O1),mV,250.0,5.916666666666667,60.0,100.0,0.004768360922899765,False,False,True
slp60,3,Resp (abdominal),l,250.0,5.916666666666667,60.0,100.0,0.16679933841903172,True,False,True
slp60,4,Resp (nasal),l,250.0,5.916666666666667,60.0,100.0,0.16438884757625405,True,False,True
slp60,5,SV,ml,250.0,5.916666666666667,60.0,100.0,25.02569353940307,False,False,True
slp60,6,SO2,%,250.0,5.916666666666667,60.0,100.0,0.07570688131635192,False,True,True
slp61,0,ECG,mV,250.0,6.166666666666667,60.0,100.0,0.17975931502964984,False,False,True
slp61,1,BP,mmHg,250.0,6.166666666666667,60.0,100.0,20.70307784754457,False,False,True
slp61,2,EEG (C3-O1),mV,250.0,6.166666666666667,60.0,100.0,0.013166202389810049,False,False,True
slp61,3,Resp (abdominal),l,250.0,6.166666666666667,60.0,100.0,0.16861181570771783,True,False,True
slp61,4,SV,cc,250.0,6.166666666666667,60.0,100.0,0.13603896253825606,False,False,True
slp61,5,SO2,%,250.0,6.166666666666667,60.0,100.0,0.14812900931504858,False,True,True
slp66,0,ECG,mV,250.0,3.6666666666666665,60.0,100.0,0.10490752644928135,False,False,True
slp66,1,BP,mmHg,250.0,3.6666666666666665,60.0,100.0,16.52064471702565,False,False,True
slp66,2,EEG (C3-O1),mV,250.0,3.6666666666666665,60.0,100.0,0.006694833564163976,False,False,True
slp66,3,Resp (nasal),l,250.0,3.6666666666666665,60.0,100.0,0.10857786224398178,True,False,True
slp66,4,Resp (abdomen),l,250.0,3.6666666666666665,60.0,100.0,0.06579966785390953,True,False,True
slp66,5,SV,ml,250.0,3.6666666666666665,60.0,100.0,26.39749752739763,False,False,True
slp66,6,SO2,%,250.0,3.6666666666666665,60.0,100.0,1.6566250638473168,False,True,True
slp67x,0,ECG,mV,250.0,1.2833333333333334,60.0,100.0,0.115032433901632,False,False,True
slp67x,1,BP,mmHg,250.0,1.2833333333333334,60.0,100.0,24.048485805868964,False,False,True
slp67x,2,EEG (C3-O1),mV,250.0,1.2833333333333334,60.0,100.0,0.01974743454870831,False,False,True
slp67x,3,Resp (nasal),l,250.0,1.2833333333333334,60.0,100.0,0.04898896764309328,True,False,True
slp67x,4,Resp (chest),l,250.0,1.2833333333333334,60.0,100.0,0.03150702924437593,True,False,True
slp67x,5,SV,ml,250.0,1.2833333333333334,60.0,100.0,69.78968203008368,False,False,True
slp67x,6,SO2,%,250.0,1.2833333333333334,60.0,100.0,0.6684215232187249,False,True,True
