record_id,model,epoch_count,majority_reference_stage,predicted_majority_stage,accuracy,balanced_accuracy,cohen_kappa,macro_f1,wake_precision,wake_recall,wake_f1,wake_support,n1_precision,n1_recall,n1_f1,n1_support,n2_precision,n2_recall,n2_f1,n2_support,n3_precision,n3_recall,n3_f1,n3_support,rem_precision,rem_recall,rem_f1,rem_support
SC4001,yasa_sleepstaging,2650,WAKE,WAKE,0.7773584905660378,0.5718187902543471,0.524350457730925,0.5351879498494903,0.930089485458613,0.8327491236855283,0.8787318361955085,1997,0.2,0.3103448275862069,0.24324324324324326,58,0.5536723163841808,0.784,0.6490066225165563,250,0.7777777777777778,0.7,0.7368421052631579,220,0.1318181818181818,0.232,0.1681159420289855,125
SC4011,yasa_sleepstaging,2802,WAKE,WAKE,0.7127052105638829,0.7480259023552882,0.5467059964526023,0.6194521847293762,0.97265625,0.6707974137931034,0.7940051020408163,1856,0.4915254237288136,0.5321100917431193,0.5110132158590308,109,0.7037593984962406,0.8327402135231317,0.7628361858190709,562,0.5255102040816326,0.9809523809523809,0.6843853820598007,105,0.2265193370165746,0.7235294117647059,0.3450210378681627,170
SC4021,yasa_sleepstaging,2804,WAKE,WAKE,0.8038516405135521,0.6869215778243329,0.639344009268265,0.5908057140338553,0.9643691588785047,0.8657577346617724,0.9124067421939762,1907,0.27472527472527475,0.26595744680851063,0.2702702702702703,94,0.8839907192575406,0.6990825688073394,0.7807377049180327,545,0.41284403669724773,0.9473684210526315,0.5750798722044729,95,0.3039772727272727,0.656441717791411,0.4155339805825243,163
SC4031,yasa_sleepstaging,2820,WAKE,WAKE,0.8588652482269503,0.7874181235595725,0.7183738975691569,0.6667522017521371,0.9826086956521739,0.900398406374502,0.9397089397089398,2008,0.47619047619047616,0.4918032786885246,0.4838709677419355,61,0.944,0.7298969072164948,0.8232558139534883,485,0.32,0.9824561403508771,0.4827586206896552,57,0.47411444141689374,0.8325358851674641,0.6041666666666666,209
SC4041,yasa_sleepstaging,2569,WAKE,WAKE,0.8151031529778123,0.7702128906735645,0.696084154758922,0.6896715316445998,0.9409672830725462,0.8624511082138201,0.9,1534,0.45454545454545453,0.45180722891566266,0.45317220543806647,166,0.9434697855750487,0.7806451612903226,0.8543689320388349,620,0.550561797752809,0.9245283018867925,0.6901408450704225,53,0.4116161616161616,0.8316326530612245,0.5506756756756757,196
SC4051,yasa_sleepstaging,2722,WAKE,WAKE,0.7149155033063923,0.5611322788898451,0.37576279676632385,0.4804315131683321,0.9681528662420382,0.7404782993799823,0.8391468005018821,2258,0.391304347826087,0.4090909090909091,0.4,44,0.4793650793650794,0.695852534562212,0.5676691729323309,217,0.43010752688172044,0.5925925925925926,0.4984423676012461,135,0.05580357142857143,0.36764705882352944,0.09689922480620156,68
SC4061,yasa_sleepstaging,2770,WAKE,WAKE,0.9129963898916967,0.7163997491933694,0.7888682786899504,0.7032515177927544,0.9574162679425837,0.9671338811019816,0.9622505409954316,2069,0.4666666666666667,0.375,0.4158415841584158,56,0.9190600522193212,0.8648648648648649,0.8911392405063291,407,0.7375,0.4338235294117647,0.5462962962962963,136,0.5581395348837209,0.9411764705882353,0.7007299270072993,102
SC4071,yasa_sleepstaging,2810,WAKE,WAKE,0.8533807829181494,0.7551896633206286,0.7214591372191241,0.7081834755294787,0.9771949828962372,0.8753830439223698,0.9234913793103449,1958,0.34782608695652173,0.2696629213483146,0.3037974683544304,89,0.6298342541436464,0.8486352357320099,0.7230443974630021,403,0.7548076923076923,0.9691358024691358,0.8486486486486486,162,0.6822033898305084,0.8131313131313131,0.7419354838709677,198
SC4081,yasa_sleepstaging,2796,WAKE,WAKE,0.7846924177396281,0.6570308347308773,0.597466841436528,0.6059808457486636,0.9482961222091657,0.8130982367758186,0.8755085435313262,1985,0.4864864864864865,0.2647058823529412,0.34285714285714286,68,0.651685393258427,0.6641221374045801,0.6578449905482041,262,0.7962466487935657,0.8485714285714285,0.8215767634854771,350,0.2182254196642686,0.6946564885496184,0.33211678832116787,131
SC4091,yasa_sleepstaging,2721,WAKE,WAKE,0.8798235942668137,0.7621856869886281,0.7809380473366663,0.7009672153708403,0.9716646989374262,0.9465209890741806,0.9589280512671133,1739,0.2037037037037037,0.5789473684210527,0.3013698630136986,19,0.8058076225045372,0.7914438502673797,0.7985611510791367,561,0.7736842105263158,0.8647058823529412,0.8166666666666667,170,0.6293103448275862,0.6293103448275862,0.6293103448275862,232
SC4101,yasa_sleepstaging,2719,WAKE,WAKE,0.7127620448694373,0.7254614397794267,0.524848714027278,0.47657127887980144,0.9545798637395913,0.7124293785310735,0.8159171789065027,1770,0.2,0.27692307692307694,0.23225806451612904,65,0.6385372714486639,0.676602086438152,0.6570188133140377,671,0.057692307692307696,1.0,0.10909090909090909,6,0.40365111561866124,0.961352657004831,0.5685714285714286,207
all,yasa_sleepstaging,30183,WAKE,WAKE,0.8026372461319286,0.7025433179014655,0.6321445692067216,0.6330603202566529,0.9609042262749808,0.8347801337697452,0.8934128696535093,21081,0.3640552995391705,0.38118214716525933,0.37242192103712435,829,0.7439310884886453,0.762592815572948,0.7531463680507383,4983,0.5939514129895885,0.8045668233713902,0.6833998859098688,1489,0.33900928792569657,0.7295946696279845,0.46292055663202397,1801
