constructor_seconds,cropped_duration_seconds,import_seconds,mne_version,original_duration_seconds,predict_proba_seconds,predict_seconds,predicted_epochs,predictions_out,probabilities_out,probability_rows,python,read_edf_seconds,record_id,sampling_rate_hz,status,total_seconds,yasa_version,crop_seconds,timeout_seconds,wall_seconds,returncode,stdout,stderr
0.217716,79500.0,9.30895,1.12.1,79500.0,4e-06,5.682448,2650,,,2650,3.12.13,1.718098,SC4001,100.0,completed,16.928077,0.7.0,,180.0,18.873212,0,"{""constructor_seconds"": 0.217716, ""cropped_duration_seconds"": 79500.0, ""import_seconds"": 9.30895, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 79500.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 5.682448, ""predicted_epochs"": 2650, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2650, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.718098, ""record_id"": ""SC4001"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 16.928077, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.219088,84060.0,6.44979,1.12.1,84060.0,3e-06,5.600782,2802,,,2802,3.12.13,1.411537,SC4011,100.0,completed,13.681651,0.7.0,,180.0,15.586188,0,"{""constructor_seconds"": 0.219088, ""cropped_duration_seconds"": 84060.0, ""import_seconds"": 6.44979, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84060.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 5.600782, ""predicted_epochs"": 2802, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2802, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.411537, ""record_id"": ""SC4011"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 13.681651, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.213677,84120.0,6.924118,1.12.1,84120.0,5e-06,5.607746,2804,,,2804,3.12.13,1.423984,SC4021,100.0,completed,14.170069,0.7.0,,180.0,16.098585,0,"{""constructor_seconds"": 0.213677, ""cropped_duration_seconds"": 84120.0, ""import_seconds"": 6.924118, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84120.0, ""predict_proba_seconds"": 5e-06, ""predict_seconds"": 5.607746, ""predicted_epochs"": 2804, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2804, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.423984, ""record_id"": ""SC4021"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 14.170069, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.299235,84600.0,7.931338,1.12.1,84600.0,4e-06,5.527148,2820,,,2820,3.12.13,1.51835,SC4031,100.0,completed,15.276558,0.7.0,,180.0,17.205643,0,"{""constructor_seconds"": 0.299235, ""cropped_duration_seconds"": 84600.0, ""import_seconds"": 7.931338, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84600.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 5.527148, ""predicted_epochs"": 2820, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2820, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.51835, ""record_id"": ""SC4031"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 15.276558, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.175298,77100.0,6.336673,1.12.1,77100.0,4e-06,4.895672,2570,,,2570,3.12.13,1.163075,SC4041,100.0,completed,12.571112,0.7.0,,180.0,14.538637,0,"{""constructor_seconds"": 0.175298, ""cropped_duration_seconds"": 77100.0, ""import_seconds"": 6.336673, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 77100.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.895672, ""predicted_epochs"": 2570, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2570, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.163075, ""record_id"": ""SC4041"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 12.571112, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.214413,81660.0,6.303851,1.12.1,81660.0,4e-06,5.410358,2722,,,2722,3.12.13,1.343149,SC4051,100.0,completed,13.27221,0.7.0,,180.0,15.077618,0,"{""constructor_seconds"": 0.214413, ""cropped_duration_seconds"": 81660.0, ""import_seconds"": 6.303851, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 81660.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 5.410358, ""predicted_epochs"": 2722, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2722, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.343149, ""record_id"": ""SC4051"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 13.27221, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.219284,83100.0,6.478377,1.12.1,83100.0,3e-06,5.656049,2770,,,2770,3.12.13,1.302919,SC4061,100.0,completed,13.657048,0.7.0,,180.0,15.548958,0,"{""constructor_seconds"": 0.219284, ""cropped_duration_seconds"": 83100.0, ""import_seconds"": 6.478377, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83100.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 5.656049, ""predicted_epochs"": 2770, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2770, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.302919, ""record_id"": ""SC4061"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 13.657048, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.217918,84300.0,6.516608,1.12.1,84300.0,1.8e-05,5.419138,2810,,,2810,3.12.13,1.364861,SC4071,100.0,completed,13.519566,0.7.0,,180.0,15.357311,0,"{""constructor_seconds"": 0.217918, ""cropped_duration_seconds"": 84300.0, ""import_seconds"": 6.516608, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84300.0, ""predict_proba_seconds"": 1.8e-05, ""predict_seconds"": 5.419138, ""predicted_epochs"": 2810, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2810, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.364861, ""record_id"": ""SC4071"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 13.519566, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.245546,83880.0,6.536057,1.12.1,83880.0,3e-06,6.210294,2796,,,2796,3.12.13,1.403892,SC4081,100.0,completed,14.396209,0.7.0,,180.0,16.268448,0,"{""constructor_seconds"": 0.245546, ""cropped_duration_seconds"": 83880.0, ""import_seconds"": 6.536057, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83880.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 6.210294, ""predicted_epochs"": 2796, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2796, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.403892, ""record_id"": ""SC4081"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 14.396209, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.201147,81960.0,6.273839,1.12.1,81960.0,3e-06,5.195438,2732,,,2732,3.12.13,1.287136,SC4091,100.0,completed,12.957982,0.7.0,,180.0,14.746247,0,"{""constructor_seconds"": 0.201147, ""cropped_duration_seconds"": 81960.0, ""import_seconds"": 6.273839, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 81960.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 5.195438, ""predicted_epochs"": 2732, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2732, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.287136, ""record_id"": ""SC4091"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 12.957982, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
