record_id,model,epoch_count,majority_reference_stage,predicted_majority_stage,accuracy,balanced_accuracy,cohen_kappa,macro_f1,wake_precision,wake_recall,wake_f1,wake_support,n1_precision,n1_recall,n1_f1,n1_support,n2_precision,n2_recall,n2_f1,n2_support,n3_precision,n3_recall,n3_f1,n3_support,rem_precision,rem_recall,rem_f1,rem_support
SC4001,majority_stage_baseline,2650,WAKE,WAKE,0.7535849056603774,0.2,0.0,0.17189584678287068,0.7535849056603774,1.0,0.8594792339143533,1997,0.0,0.0,0.0,58,0.0,0.0,0.0,250,0.0,0.0,0.0,220,0.0,0.0,0.0,125
SC4011,majority_stage_baseline,2802,WAKE,WAKE,0.662384011420414,0.2,0.0,0.15938170888793474,0.662384011420414,1.0,0.7969085444396736,1856,0.0,0.0,0.0,109,0.0,0.0,0.0,562,0.0,0.0,0.0,105,0.0,0.0,0.0,170
SC4021,majority_stage_baseline,2804,WAKE,WAKE,0.6800998573466477,0.2,0.0,0.16191891318191468,0.6800998573466477,1.0,0.8095945659095733,1907,0.0,0.0,0.0,94,0.0,0.0,0.0,545,0.0,0.0,0.0,95,0.0,0.0,0.0,163
SC4031,majority_stage_baseline,2820,WAKE,WAKE,0.7120567375886525,0.2,0.0,0.1663628831814416,0.7120567375886525,1.0,0.831814415907208,2008,0.0,0.0,0.0,61,0.0,0.0,0.0,485,0.0,0.0,0.0,57,0.0,0.0,0.0,209
SC4041,majority_stage_baseline,2569,WAKE,WAKE,0.5971195017516543,0.2,0.0,0.14954911040701926,0.5971195017516543,1.0,0.7477455520350963,1534,0.0,0.0,0.0,166,0.0,0.0,0.0,620,0.0,0.0,0.0,53,0.0,0.0,0.0,196
SC4051,majority_stage_baseline,2722,WAKE,WAKE,0.8295371050698016,0.2,0.0,0.18136546184738955,0.8295371050698016,1.0,0.9068273092369478,2258,0.0,0.0,0.0,44,0.0,0.0,0.0,217,0.0,0.0,0.0,135,0.0,0.0,0.0,68
SC4061,majority_stage_baseline,2770,WAKE,WAKE,0.7469314079422382,0.2,0.0,0.1710270717090308,0.7469314079422382,1.0,0.855135358545154,2069,0.0,0.0,0.0,56,0.0,0.0,0.0,407,0.0,0.0,0.0,136,0.0,0.0,0.0,102
SC4071,majority_stage_baseline,2810,WAKE,WAKE,0.6967971530249111,0.2,0.0,0.16426174496644294,0.6967971530249111,1.0,0.8213087248322147,1958,0.0,0.0,0.0,89,0.0,0.0,0.0,403,0.0,0.0,0.0,162,0.0,0.0,0.0,198
SC4081,majority_stage_baseline,2796,WAKE,WAKE,0.7099427753934192,0.2,0.0,0.16607404308722024,0.7099427753934192,1.0,0.8303702154361012,1985,0.0,0.0,0.0,68,0.0,0.0,0.0,262,0.0,0.0,0.0,350,0.0,0.0,0.0,131
SC4091,majority_stage_baseline,2721,WAKE,WAKE,0.6391032708563028,0.2,0.0,0.15596412556053812,0.6391032708563028,1.0,0.7798206278026906,1739,0.0,0.0,0.0,19,0.0,0.0,0.0,561,0.0,0.0,0.0,170,0.0,0.0,0.0,232
