constructor_seconds,cropped_duration_seconds,import_seconds,mne_version,original_duration_seconds,predict_proba_seconds,predict_seconds,predicted_epochs,predictions_out,probabilities_out,probability_rows,python,read_edf_seconds,record_id,sampling_rate_hz,status,total_seconds,yasa_version,crop_seconds,timeout_seconds,wall_seconds,returncode,stdout,stderr
0.250948,79500.0,5.24228,1.12.1,79500.0,4e-06,4.94411,2650,,,2650,3.12.13,1.290399,SC4001,100.0,completed,11.728093,0.7.0,,180.0,13.430449,0,"{""constructor_seconds"": 0.250948, ""cropped_duration_seconds"": 79500.0, ""import_seconds"": 5.24228, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 79500.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.94411, ""predicted_epochs"": 2650, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2650, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.290399, ""record_id"": ""SC4001"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.728093, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.212435,84060.0,5.313701,1.12.1,84060.0,3e-06,4.792282,2802,,,2802,3.12.13,1.393529,SC4011,100.0,completed,11.712334,0.7.0,,180.0,13.38267,0,"{""constructor_seconds"": 0.212435, ""cropped_duration_seconds"": 84060.0, ""import_seconds"": 5.313701, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84060.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.792282, ""predicted_epochs"": 2802, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2802, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.393529, ""record_id"": ""SC4011"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.712334, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.198134,84120.0,5.401764,1.12.1,84120.0,3e-06,4.728241,2804,,,2804,3.12.13,1.234123,SC4021,100.0,completed,11.562618,0.7.0,,180.0,13.285114,0,"{""constructor_seconds"": 0.198134, ""cropped_duration_seconds"": 84120.0, ""import_seconds"": 5.401764, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84120.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.728241, ""predicted_epochs"": 2804, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2804, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.234123, ""record_id"": ""SC4021"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.562618, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.196176,84600.0,5.412531,1.12.1,84600.0,3e-06,4.800315,2820,,,2820,3.12.13,1.139719,SC4031,100.0,completed,11.549121,0.7.0,,180.0,13.223415,0,"{""constructor_seconds"": 0.196176, ""cropped_duration_seconds"": 84600.0, ""import_seconds"": 5.412531, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84600.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.800315, ""predicted_epochs"": 2820, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2820, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.139719, ""record_id"": ""SC4031"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.549121, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.187644,77100.0,5.401846,1.12.1,77100.0,4e-06,4.694677,2570,,,2570,3.12.13,1.103418,SC4041,100.0,completed,11.387945,0.7.0,,180.0,13.094529,0,"{""constructor_seconds"": 0.187644, ""cropped_duration_seconds"": 77100.0, ""import_seconds"": 5.401846, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 77100.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.694677, ""predicted_epochs"": 2570, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2570, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.103418, ""record_id"": ""SC4041"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.387945, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.214544,81660.0,5.79012,1.12.1,81660.0,4e-06,4.874853,2722,,,2722,3.12.13,1.230585,SC4051,100.0,completed,12.11052,0.7.0,,180.0,13.860939,0,"{""constructor_seconds"": 0.214544, ""cropped_duration_seconds"": 81660.0, ""import_seconds"": 5.79012, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 81660.0, ""predict_proba_seconds"": 4e-06, ""predict_seconds"": 4.874853, ""predicted_epochs"": 2722, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2722, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.230585, ""record_id"": ""SC4051"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 12.11052, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.197267,83100.0,5.44553,1.12.1,83100.0,3e-06,4.870301,2770,,,2770,3.12.13,1.152126,SC4061,100.0,completed,11.665597,0.7.0,,180.0,13.317885,0,"{""constructor_seconds"": 0.197267, ""cropped_duration_seconds"": 83100.0, ""import_seconds"": 5.44553, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83100.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.870301, ""predicted_epochs"": 2770, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2770, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.152126, ""record_id"": ""SC4061"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.665597, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.206055,84300.0,5.437662,1.12.1,84300.0,3e-06,4.90797,2810,,,2810,3.12.13,1.220593,SC4071,100.0,completed,11.772685,0.7.0,,180.0,13.41592,0,"{""constructor_seconds"": 0.206055, ""cropped_duration_seconds"": 84300.0, ""import_seconds"": 5.437662, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 84300.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.90797, ""predicted_epochs"": 2810, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2810, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.220593, ""record_id"": ""SC4071"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.772685, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.192588,83880.0,5.531373,1.12.1,83880.0,3e-06,4.883037,2796,,,2796,3.12.13,1.147722,SC4081,100.0,completed,11.75508,0.7.0,,180.0,13.428355,0,"{""constructor_seconds"": 0.192588, ""cropped_duration_seconds"": 83880.0, ""import_seconds"": 5.531373, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 83880.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.883037, ""predicted_epochs"": 2796, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2796, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.147722, ""record_id"": ""SC4081"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.75508, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
0.196167,81960.0,5.483212,1.12.1,81960.0,3e-06,4.836492,2732,,,2732,3.12.13,1.242097,SC4091,100.0,completed,11.758317,0.7.0,,180.0,13.366838,0,"{""constructor_seconds"": 0.196167, ""cropped_duration_seconds"": 81960.0, ""import_seconds"": 5.483212, ""mne_version"": ""1.12.1"", ""original_duration_seconds"": 81960.0, ""predict_proba_seconds"": 3e-06, ""predict_seconds"": 4.836492, ""predicted_epochs"": 2732, ""predictions_out"": """", ""probabilities_out"": """", ""probability_rows"": 2732, ""python"": ""3.12.13"", ""read_edf_seconds"": 1.242097, ""record_id"": ""SC4091"", ""sampling_rate_hz"": 100.0, ""status"": ""completed"", ""total_seconds"": 11.758317, ""yasa_version"": ""0.7.0""}","C:\Users\Yikuan Yan\Github\Physiological Signal Analysis\.venv\Lib\site-packages\sklearn\base.py:525: InconsistentVersionWarning: Trying to unpickle estimator LabelEncoder from version 0.24.2 when using version 1.9.0. This might lead to breaking code or invalid results. Use at your own risk. For more info please refer to:
https://scikit-learn.org/stable/model_persistence.html#security-maintainability-limitations
  warnings.warn("
